id,articleType,image_path
140201_246282313_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\140201_246282313_thumbnail_progressive_thumbnail.jpg
141441_257220563_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\141441_257220563_thumbnail_progressive_thumbnail.jpg
151015_189919545_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\151015_189919545_thumbnail_progressive_thumbnail.jpg
151058_44451690_thumbnail,Jacket,Clothes_Dataset\151058_44451690_thumbnail.jpg
151641_212854941_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\151641_212854941_thumbnail_progressive_thumbnail.jpg
152413_236548102_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\152413_236548102_thumbnail_progressive_thumbnail.jpg
154404_119466325_thumbnail,Jacket,Clothes_Dataset\154404_119466325_thumbnail.jpg
155d5839-a70a-4a94-a1b2-4d68d59b13ab,Jacket,Clothes_Dataset\155d5839-a70a-4a94-a1b2-4d68d59b13ab.jpg
165637_244650625_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\165637_244650625_thumbnail_progressive_thumbnail.jpg
165723_58525927_thumbnail,Jacket,Clothes_Dataset\165723_58525927_thumbnail.jpg
172021_92006619_thumbnail,Jacket,Clothes_Dataset\172021_92006619_thumbnail.jpg
173539_189942005_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\173539_189942005_thumbnail_progressive_thumbnail.jpg
174105_68380351_thumbnail,Jacket,Clothes_Dataset\174105_68380351_thumbnail.jpg
1745b197-af72-4d7c-ad73-9967ddad5d21,Jacket,Clothes_Dataset\1745b197-af72-4d7c-ad73-9967ddad5d21.jpg
180804_106974347_thumbnail,Jacket,Clothes_Dataset\180804_106974347_thumbnail.jpg
181432_210436427_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\181432_210436427_thumbnail_progressive_thumbnail.jpg
182029_257791292_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\182029_257791292_thumbnail_progressive_thumbnail.jpg
184015_202467861_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\184015_202467861_thumbnail_progressive_thumbnail.jpg
185602_148689840_thumbnail,Jacket,Clothes_Dataset\185602_148689840_thumbnail.jpg
185955_165857096_thumbnail,Jacket,Clothes_Dataset\185955_165857096_thumbnail.jpg
18ed7f47-b091-4eb0-ae81-89f2ef139a9b,Jacket,Clothes_Dataset\18ed7f47-b091-4eb0-ae81-89f2ef139a9b.jpg
190353_248284896_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\190353_248284896_thumbnail_progressive_thumbnail.jpg
190507_248285084_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\190507_248285084_thumbnail_progressive_thumbnail.jpg
191138_248286137_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\191138_248286137_thumbnail_progressive_thumbnail.jpg
193802_211369895_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\193802_211369895_thumbnail_progressive_thumbnail.jpg
195625_142683778_thumbnail,Jacket,Clothes_Dataset\195625_142683778_thumbnail.jpg
1set_blazzer_3in1_1655027046_c4c28d3a_progressive_thumbnail,Jacket,Clothes_Dataset\1set_blazzer_3in1_1655027046_c4c28d3a_progressive_thumbnail.jpg
200829_172029220_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\200829_172029220_thumbnail_progressive_thumbnail.jpg
201026_169789041_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\201026_169789041_thumbnail_progressive_thumbnail.jpg
201151_248297793_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\201151_248297793_thumbnail_progressive_thumbnail.jpg
201414_248298231_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\201414_248298231_thumbnail_progressive_thumbnail.jpg
202501_248300358_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\202501_248300358_thumbnail_progressive_thumbnail.jpg
202553_121505952_thumbnail,Jacket,Clothes_Dataset\202553_121505952_thumbnail.jpg
203402_55146203_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\203402_55146203_thumbnail_progressive_thumbnail.jpg
203419_55145580_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\203419_55145580_thumbnail_progressive_thumbnail.jpg
205025_155047084_thumbnail,Jacket,Clothes_Dataset\205025_155047084_thumbnail.jpg
207c67b0-04be-4fbe-9eca-d19c9b0604f7,Jacket,Clothes_Dataset\207c67b0-04be-4fbe-9eca-d19c9b0604f7.jpg
211941_192670145_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\211941_192670145_thumbnail_progressive_thumbnail.jpg
216f2433-a511-4834-9b8c-d01bc926d5d4,Jacket,Clothes_Dataset\216f2433-a511-4834-9b8c-d01bc926d5d4.jpg
23ebdf1c-4435-42e9-83d1-a48834f97937,Jacket,Clothes_Dataset\23ebdf1c-4435-42e9-83d1-a48834f97937.jpg
29864eb0-52f8-4fcd-ae49-378cee812d79,Jacket,Clothes_Dataset\29864eb0-52f8-4fcd-ae49-378cee812d79.jpg
2ca50463-77b2-41ca-a96d-7a2d2d7fca5a,Jacket,Clothes_Dataset\2ca50463-77b2-41ca-a96d-7a2d2d7fca5a.jpg
3087f582-6895-41a2-93b5-145b1f209942,Jacket,Clothes_Dataset\3087f582-6895-41a2-93b5-145b1f209942.jpg
33bd8f87-ea14-4360-a980-ea4ea748c929,Jacket,Clothes_Dataset\33bd8f87-ea14-4360-a980-ea4ea748c929.jpg
349cf35c-eaad-49af-b0c9-3c88b8d0afc1,Jacket,Clothes_Dataset\349cf35c-eaad-49af-b0c9-3c88b8d0afc1.jpg
396cdf47-f336-491c-919c-ae80cf1d02ba,Jacket,Clothes_Dataset\396cdf47-f336-491c-919c-ae80cf1d02ba.jpg
3a086da2-435d-4d5a-be6a-45c7c61a5ad8,Jacket,Clothes_Dataset\3a086da2-435d-4d5a-be6a-45c7c61a5ad8.jpg
3e3c9f0a-cc69-4618-9724-7dc02545082e,Jacket,Clothes_Dataset\3e3c9f0a-cc69-4618-9724-7dc02545082e.jpg
46178d12-1b77-441a-bd6f-58ac7f286428,Jacket,Clothes_Dataset\46178d12-1b77-441a-bd6f-58ac7f286428.jpg
48fb5ab3-cf95-4fe9-af1e-2c8e2cdf1cd5,Jacket,Clothes_Dataset\48fb5ab3-cf95-4fe9-af1e-2c8e2cdf1cd5.jpg
60c3fddc-9591-4fea-8c47-7473e32cf5ff,Jacket,Clothes_Dataset\60c3fddc-9591-4fea-8c47-7473e32cf5ff.jpg
644a1b3b-b434-4bbf-8d12-b81dc1a77bd8,Jacket,Clothes_Dataset\644a1b3b-b434-4bbf-8d12-b81dc1a77bd8.jpg
685ae610-4c8d-421c-8a6e-22c64ba3ad02,Jacket,Clothes_Dataset\685ae610-4c8d-421c-8a6e-22c64ba3ad02.jpg
69b8ce1a-99eb-4e45-83bd-d95b2e04f2e5,Jacket,Clothes_Dataset\69b8ce1a-99eb-4e45-83bd-d95b2e04f2e5.jpg
6e3cc915-a7c2-4dd3-b920-31b71e23d7fe,Jacket,Clothes_Dataset\6e3cc915-a7c2-4dd3-b920-31b71e23d7fe.jpg
6f904ea3-9899-46c3-a561-faec0bda7e86,Jacket,Clothes_Dataset\6f904ea3-9899-46c3-a561-faec0bda7e86.jpg
71d79b5f-d1ec-4f0e-be31-deb86883573f,Jacket,Clothes_Dataset\71d79b5f-d1ec-4f0e-be31-deb86883573f.jpg
721e4f5c-a733-4230-a3ce-fe350908b0b7,Jacket,Clothes_Dataset\721e4f5c-a733-4230-a3ce-fe350908b0b7.jpg
726d4803-c76b-49d2-bcea-d5867f4ca073,Jacket,Clothes_Dataset\726d4803-c76b-49d2-bcea-d5867f4ca073.jpg
74846ee1-6410-4018-bf41-370ebaa26353,Jacket,Clothes_Dataset\74846ee1-6410-4018-bf41-370ebaa26353.jpg
760cc6d7-f626-4b59-a163-7d31ed3d610e,Jacket,Clothes_Dataset\760cc6d7-f626-4b59-a163-7d31ed3d610e.jpg
7e30b281-c813-4d6a-9635-bb26a5e64891,Jacket,Clothes_Dataset\7e30b281-c813-4d6a-9635-bb26a5e64891.jpg
7fe3f9b7-ccee-4d88-a165-389762f3d77a,Jacket,Clothes_Dataset\7fe3f9b7-ccee-4d88-a165-389762f3d77a.jpg
826a22c6-1634-4e46-aeab-cb182db7be85,Jacket,Clothes_Dataset\826a22c6-1634-4e46-aeab-cb182db7be85.jpg
8359ddd5-40ae-47e1-b114-f09aa6ab5995,Jacket,Clothes_Dataset\8359ddd5-40ae-47e1-b114-f09aa6ab5995.jpg
8499bdb4-e26f-45fd-9a70-fa9663d19144,Jacket,Clothes_Dataset\8499bdb4-e26f-45fd-9a70-fa9663d19144.jpg
8993a2af-5a48-4477-ba0c-af3a7bce6c3e,Jacket,Clothes_Dataset\8993a2af-5a48-4477-ba0c-af3a7bce6c3e.jpg
9e26acec-f047-4039-9c81-eeb2b7bd3dce,Jacket,Clothes_Dataset\9e26acec-f047-4039-9c81-eeb2b7bd3dce.jpg
blazer_cerbruti_1888_size_m_1684926636_5aee39e5_progressive,Jacket,Clothes_Dataset\blazer_cerbruti_1888_size_m_1684926636_5aee39e5_progressive.jpg
blazer_cerbruti_1888_size_m_1684926636_76b2cb72_progressive,Jacket,Clothes_Dataset\blazer_cerbruti_1888_size_m_1684926636_76b2cb72_progressive.jpg
blazer_cerbruti_1888_size_m_1684926636_ba6f395f_progressive,Jacket,Clothes_Dataset\blazer_cerbruti_1888_size_m_1684926636_ba6f395f_progressive.jpg
blazer_cerbruti_1888_size_m_1684926636_db4097bd_progressive,Jacket,Clothes_Dataset\blazer_cerbruti_1888_size_m_1684926636_db4097bd_progressive.jpg
blazer_cerbruti_1888_size_m_1684926636_dc72fde7_progressive,Jacket,Clothes_Dataset\blazer_cerbruti_1888_size_m_1684926636_dc72fde7_progressive.jpg
blazer_coklat_1593966361_eb575053_progressive_thumbnail,Jacket,Clothes_Dataset\blazer_coklat_1593966361_eb575053_progressive_thumbnail.jpg
blazer_cotton_island_1684994739_6001dc96_progressive,Jacket,Clothes_Dataset\blazer_cotton_island_1684994739_6001dc96_progressive.jpg
blazer_hitam_blazer_kerja_wani_1684957841_1002770d_progressive,Jacket,Clothes_Dataset\blazer_hitam_blazer_kerja_wani_1684957841_1002770d_progressive.jpg
blazer_kotak_jennie_blackpink_1684995735_53179753_progressive,Jacket,Clothes_Dataset\blazer_kotak_jennie_blackpink_1684995735_53179753_progressive.jpg
blazer_merk_blazer_bahan_blaze_1637212795_a546c2b5_progressive_thumbnail,Jacket,Clothes_Dataset\blazer_merk_blazer_bahan_blaze_1637212795_a546c2b5_progressive_thumbnail.jpg
blazer_tosca_size_m_1684943142_b6364bf4_progressive,Jacket,Clothes_Dataset\blazer_tosca_size_m_1684943142_b6364bf4_progressive.jpg
blazer_ungu_bahan_scuba_premiu_1684990829_af9d9e66_progressive,Jacket,Clothes_Dataset\blazer_ungu_bahan_scuba_premiu_1684990829_af9d9e66_progressive.jpg
blazer_wanita_1684979684_06b5ec49_progressive,Jacket,Clothes_Dataset\blazer_wanita_1684979684_06b5ec49_progressive.jpg
blazer_wanita_1684979684_99ccf41c_progressive,Jacket,Clothes_Dataset\blazer_wanita_1684979684_99ccf41c_progressive.jpg
blazer_wanita_1684979684_9bc53f06_progressive,Jacket,Clothes_Dataset\blazer_wanita_1684979684_9bc53f06_progressive.jpg
blazer_wanita_1684979684_d8e8ec41_progressive,Jacket,Clothes_Dataset\blazer_wanita_1684979684_d8e8ec41_progressive.jpg
blazer_wanita_casual_ootd_outf_1684981303_2f81bf26_progressive,Jacket,Clothes_Dataset\blazer_wanita_casual_ootd_outf_1684981303_2f81bf26_progressive.jpg
blazer_wanita_warna_abu_tua_1684973807_4a2f8e55_progressive,Jacket,Clothes_Dataset\blazer_wanita_warna_abu_tua_1684973807_4a2f8e55_progressive.jpg
blazer_wanita_warna_abu_tua_1684973807_a7337596_progressive,Jacket,Clothes_Dataset\blazer_wanita_warna_abu_tua_1684973807_a7337596_progressive.jpg
blazer_wanita_warna_brick_1684985866_23b11609_progressive,Jacket,Clothes_Dataset\blazer_wanita_warna_brick_1684985866_23b11609_progressive.jpg
blazzerjas_zara_man_1627211944_5c60e964_progressive_thumbnail,Jacket,Clothes_Dataset\blazzerjas_zara_man_1627211944_5c60e964_progressive_thumbnail.jpg
blazzerouter_tweed_hitam_mewah_1688792458_b3cb164c_progressive_thumbnail,Jacket,Clothes_Dataset\blazzerouter_tweed_hitam_mewah_1688792458_b3cb164c_progressive_thumbnail.jpg
blazzer_1600227427_957688c8_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1600227427_957688c8_progressive_thumbnail.jpg
blazzer_1630999112_9f55d0e2_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1630999112_9f55d0e2_progressive_thumbnail.jpg
blazzer_1643437875_87dab61e_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1643437875_87dab61e_progressive_thumbnail.jpg
blazzer_1646413173_2c52093a_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1646413173_2c52093a_progressive_thumbnail.jpg
blazzer_1646832060_3de05f66_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1646832060_3de05f66_progressive_thumbnail.jpg
blazzer_1649924543_3a155a3d_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1649924543_3a155a3d_progressive_thumbnail.jpg
blazzer_1649961325_ad4f051f_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1649961325_ad4f051f_progressive_thumbnail.jpg
blazzer_1654841665_c2592f2f_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1654841665_c2592f2f_progressive_thumbnail.jpg
blazzer_1662193703_31d952f9_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1662193703_31d952f9_progressive_thumbnail.jpg
blazzer_1666161109_990bafea_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1666161109_990bafea_progressive_thumbnail.jpg
blazzer_1666345346_b37ed192_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1666345346_b37ed192_progressive_thumbnail.jpg
blazzer_1666757609_a17367ae_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1666757609_a17367ae_progressive_thumbnail.jpg
blazzer_1670735133_ab4c2a1d_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1670735133_ab4c2a1d_progressive_thumbnail.jpg
blazzer_1671873148_142d0a66_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1671873148_142d0a66_progressive_thumbnail.jpg
blazzer_1671939362_07a79160_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1671939362_07a79160_progressive_thumbnail.jpg
blazzer_1671950156_7c37ccd8_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1671950156_7c37ccd8_progressive_thumbnail.jpg
blazzer_1671958268_738fb03a_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1671958268_738fb03a_progressive_thumbnail.jpg
blazzer_1672166003_ed3ef34f_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1672166003_ed3ef34f_progressive_thumbnail.jpg
blazzer_1672166083_deaaba03_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1672166083_deaaba03_progressive_thumbnail.jpg
blazzer_1673334101_3fdbe8c5_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1673334101_3fdbe8c5_progressive_thumbnail.jpg
blazzer_1679583644_204c24b8_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1679583644_204c24b8_progressive_thumbnail.jpg
blazzer_1682003062_9128d5dc_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1682003062_9128d5dc_progressive_thumbnail.jpg
blazzer_1682822435_2fcf3261_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1682822435_2fcf3261_progressive_thumbnail.jpg
blazzer_1683012290_de6b9f23_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1683012290_de6b9f23_progressive_thumbnail.jpg
blazzer_1683441430_6afcc3e1_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1683441430_6afcc3e1_progressive_thumbnail.jpg
blazzer_1685258595_4b46ef61_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1685258595_4b46ef61_progressive_thumbnail.jpg
blazzer_1691323236_363e72f4_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1691323236_363e72f4_progressive_thumbnail.jpg
blazzer_1693202033_96cc3904_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1693202033_96cc3904_progressive_thumbnail.jpg
blazzer_1694863253_8c81b8d4_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_1694863253_8c81b8d4_progressive_thumbnail.jpg
blazzer_810y_1676635941_dc373eb1_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_810y_1676635941_dc373eb1_progressive_thumbnail.jpg
blazzer_abu_1656040916_6daf95c2_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_abu_1656040916_6daf95c2_progressive_thumbnail.jpg
blazzer_abu_abu_1662284109_a579932c_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_abu_abu_1662284109_a579932c_progressive_thumbnail.jpg
blazzer_abu_abu__long_cardi_ab_1629440453_8294d49d_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_abu_abu__long_cardi_ab_1629440453_8294d49d_progressive_thumbnail.jpg
blazzer_abu_misty_1661390136_ceeb3756_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_abu_misty_1661390136_ceeb3756_progressive_thumbnail.jpg
blazzer_abu_pink_1677839935_7adb5525_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_abu_pink_1677839935_7adb5525_progressive_thumbnail.jpg
blazzer_abu_tua_xxl_good_condi_1690165022_153fd79c_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_abu_tua_xxl_good_condi_1690165022_153fd79c_progressive_thumbnail.jpg
blazzer_ala_burberry_size_5y_1694333892_3f17e6f6_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_ala_burberry_size_5y_1694333892_3f17e6f6_progressive_thumbnail.jpg
blazzer_anak_janie__jack_1658904422_88264a9a_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_anak_janie__jack_1658904422_88264a9a_progressive_thumbnail.jpg
blazzer_army_tebal_full_furing_1678592464_fe08007c_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_army_tebal_full_furing_1678592464_fe08007c_progressive_thumbnail.jpg
blazzer_article_inconu_murah_1692956322_be2a9184_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_article_inconu_murah_1692956322_be2a9184_progressive_thumbnail.jpg
blazzer_baby_pink_premium_1665995163_657feab4_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_baby_pink_premium_1665995163_657feab4_progressive_thumbnail.jpg
blazzer_bahan_korea_1627277821_b1d164e1_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_bahan_korea_1627277821_b1d164e1_progressive_thumbnail.jpg
blazzer_balenciaga_1673816628_8a8a86b4_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_balenciaga_1673816628_8a8a86b4_progressive_thumbnail.jpg
blazzer_batik_1612869697_ed437fc5_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_batik_1612869697_ed437fc5_progressive_thumbnail.jpg
blazzer_big_size_ld_120_1684486429_a252376c_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_big_size_ld_120_1684486429_a252376c_progressive_thumbnail.jpg
blazzer_biru_1600227665_c31ca541_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_biru_1600227665_c31ca541_progressive_thumbnail.jpg
blazzer_biru_1618813996_e477c3d6_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_biru_1618813996_e477c3d6_progressive_thumbnail.jpg
blazzer_biru_1650617825_9689a4ae_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_biru_1650617825_9689a4ae_progressive_thumbnail.jpg
blazzer_biru_1690905016_0cb40f25_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_biru_1690905016_0cb40f25_progressive_thumbnail.jpg
blazzer_biru_birel_1688703777_27ef744d_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_biru_birel_1688703777_27ef744d_progressive_thumbnail.jpg
blazzer_black_1616938684_ba557a1d_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_black_1616938684_ba557a1d_progressive_thumbnail.jpg
blazzer_black_1662172923_9c48ddf2_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_black_1662172923_9c48ddf2_progressive_thumbnail.jpg
blazzer_black_flickering_1645610771_f5814f43_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_black_flickering_1645610771_f5814f43_progressive_thumbnail.jpg
blazzer_blast_1669528828_cf27f0cb_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_blast_1669528828_cf27f0cb_progressive_thumbnail.jpg
blazzer_blouse_1692549649_d9c6bdc3_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_blouse_1692549649_d9c6bdc3_progressive_thumbnail.jpg
blazzer_brand_manequeen_warna__1678677481_4f188eff_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_brand_manequeen_warna__1678677481_4f188eff_progressive_thumbnail.jpg
blazzer_brand_nichi_1678680542_7638161a_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_brand_nichi_1678680542_7638161a_progressive_thumbnail.jpg
blazzer_broken_white_1671692981_7577ed7e_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_broken_white_1671692981_7577ed7e_progressive_thumbnail.jpg
blazzer_brown_1649924339_af970538_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_brown_1649924339_af970538_progressive_thumbnail.jpg
blazzer_bunga_details_1693187961_4174bfc8_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_bunga_details_1693187961_4174bfc8_progressive_thumbnail.jpg
blazzer_burberrys_kecil_made_i_1686478287_1b7128b8_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_burberrys_kecil_made_i_1686478287_1b7128b8_progressive_thumbnail.jpg
blazzer_bw_wanita_1648718148_b40d01b0_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_bw_wanita_1648718148_b40d01b0_progressive_thumbnail.jpg
blazzer_cantik_oversize_berpit_1623257471_7d4e4501_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_cantik_oversize_berpit_1623257471_7d4e4501_progressive_thumbnail.jpg
blazzer_cardigan_atasan_1655713626_8810e5b6_progressive_thumbnail,Jacket,Clothes_Dataset\blazzer_cardigan_atasan_1655713626_8810e5b6_progressive_thumbnail.jpg
